Statistical profiling result from isolate-0x557c6d30e000-78503-v8.log, (213525 ticks, 43771 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     73    0.0%    0.0%  Builtin: AsyncGeneratorYieldWithAwait
     71    0.0%    0.0%  JS: *hasTimedOut /home/adrian/Brokeify/server/node_modules/mongodb/lib/sessions.js:673:16
     71    0.0%    0.0%  Builtin: ObjectEntries
     70    0.0%    0.0%  JS: *processDiscretionaryExpenses file:///home/adrian/Brokeify/server/computation/simulator.js:653:51
     70    0.0%    0.0%  JS: *Query.setOptions /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:1681:38
     69    0.0%    0.0%  JS: *walkUpdatePath /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/query/castUpdate.js:216:24
     69    0.0%    0.0%  JS: *removeListener node:events:681:28
     69    0.0%    0.0%  JS: *getElement /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_demand/document.js:56:15
     67    0.0%    0.0%  JS: *SchemaArray.applyGetters /home/adrian/Brokeify/server/node_modules/mongoose/lib/schema/array.js:295:46
     67    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/timeout.js:47:15
     67    0.0%    0.0%  Builtin: StringEqual
     66    0.0%    0.0%  JS: *parse /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/commands.js:467:10
     66    0.0%    0.0%  JS: *now /home/adrian/Brokeify/server/node_modules/mongodb/lib/utils.js:387:13
     66    0.0%    0.0%  JS: *get isDead /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:169:15
     65    0.0%    0.0%  JS: *model.Query /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:4850:25
     65    0.0%    0.0%  JS: *Query.then /home/adrian/Brokeify/server/node_modules/mongoose/lib/query.js:4565:32
     65    0.0%    0.0%  JS: *<anonymous> node:internal/validators:176:40
     64    0.0%    0.0%  JS: *incRefCount node:internal/timers:315:21
     64    0.0%    0.0%  JS: *get node:internal/streams/duplex:162:8
     64    0.0%    0.0%  Builtin: CallApiGetter
     63    0.0%    0.0%  JS: *SchemaType.applyGetters /home/adrian/Brokeify/server/node_modules/mongoose/lib/schemaType.js:1269:45
     63    0.0%    0.0%  Builtin: StoreIC
     63    0.0%    0.0%  Builtin: RegExpMatchFast
     62    0.0%    0.0%  JS: *onceWrapper node:events:628:21
     61    0.0%    0.0%  JS: *NumberUtils.getFloat64LE /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:509:11
     60    0.0%    0.0%  Builtin: AsyncGeneratorReturn
     59    0.0%    0.0%  JS: *merge /home/adrian/Brokeify/server/node_modules/mongoose/lib/utils.js:247:31
     59    0.0%    0.0%  JS: *castUpdate /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/query/castUpdate.js:49:37
     58    0.0%    0.0%  JS: *Model /home/adrian/Brokeify/server/node_modules/mongoose/lib/model.js:117:15
     57    0.0%    0.0%  JS: *writeU_Int32LE node:internal/buffer:692:24
     57    0.0%    0.0%  JS: *makeFindCommand /home/adrian/Brokeify/server/node_modules/mongodb/lib/operations/find.js:46:25
     57    0.0%    0.0%  Builtin: JSEntry
     56    0.0%    0.0%  JS: *SchemaType._applySetters /home/adrian/Brokeify/server/node_modules/mongoose/lib/schemaType.js:1217:46
     56    0.0%    0.0%  JS: *Document.$__getValue /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:1776:42
     54    0.0%    0.0%  JS: *next /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/wire_protocol/on_data.js:35:13
     54    0.0%    0.0%  JS: *clone /home/adrian/Brokeify/server/node_modules/mquery/lib/utils.js:18:45
     54    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/connection_pool.js:196:26
     54    0.0%    0.0%  Builtin: GetPropertyWithReceiver
     54    0.0%    0.0%  Builtin: GeneratorPrototypeNext
     54    0.0%    0.0%  Builtin: AsyncGeneratorResumeNext
     54    0.0%    0.0%  Builtin: AsyncGeneratorAwaitUncaught
     53    0.0%    0.0%  JS: *processExpenses file:///home/adrian/Brokeify/server/computation/simulator.js:570:38
     53    0.0%    0.0%  JS: *OpMsgResponse /home/adrian/Brokeify/server/node_modules/mongodb/lib/cmap/commands.js:432:16
     52    0.0%    0.0%  JS: *toString node:buffer:834:46
     52    0.0%    0.0%  JS: *get /home/adrian/Brokeify/server/node_modules/mongodb/lib/bson.js:21:81
     52    0.0%    0.0%  Builtin: WeakMapPrototypeHas
     52    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame
     51    0.0%    0.0%  Builtin: NewRestArgumentsElements
     50    0.0%    0.0%  JS: *modifiedPaths /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/update/modifiedPaths.js:17:40
     50    0.0%    0.0%  Builtin: StringPrototypeSplit
     50    0.0%    0.0%  Builtin: ConstructFunction
     49    0.0%    0.0%  RegExp: ^\d+$
     49    0.0%    0.0%  JS: *writeInt32LE node:internal/buffer:862:22
     49    0.0%    0.0%  JS: *get node:internal/bootstrap/node:100:8
     48    0.0%    0.0%  JS: *addListener node:events:610:58
     48    0.0%    0.0%  JS: *addChunk node:internal/streams/readable:550:18
     48    0.0%    0.0%  JS: *Socket._read node:net:711:34
     48    0.0%    0.0%  JS: *Document.invalidate /home/adrian/Brokeify/server/node_modules/mongoose/lib/document.js:3327:41
     47    0.0%    0.0%  JS: *processPromiseRejections node:internal/process/promises:439:34
     47    0.0%    0.0%  JS: *markArraySubdocsPopulated /home/adrian/Brokeify/server/node_modules/mongoose/lib/helpers/populate/markArraySubdocsPopulated.js:19:52
     47    0.0%    0.0%  JS: *close /home/adrian/Brokeify/server/node_modules/mongodb/lib/cursor/abstract_cursor.js:413:16
     46    0.0%    0.0%  Builtin: PromiseRace
     46    0.0%    0.0%  Builtin: ObjectToString
     45    0.0%    0.0%  JS: *getBigInt64LE /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:486:18
     45    0.0%    0.0%  JS: *Binary /home/adrian/Brokeify/server/node_modules/bson/lib/bson.cjs:591:16
     45    0.0%    0.0%  JS: *<anonymous> /home/adrian/Brokeify/server/node_modules/mongodb/lib/mongo_client.js:373:31
